02:21.500  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:21.922  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:22.324  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:22.720  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:23.124  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:23.549  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:23.963  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:24.357  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:24.774  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:25.195  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:25.605  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:25.990  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:26.393  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:26.794  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:27.197  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:27.587  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
grasp glass seed 1012: 14 obs, success=True, 2.5 min
02:28.242  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:28.663  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:29.064  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:29.451  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:29.844  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:30.230  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:30.633  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:31.060  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:31.486  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:31.899  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:32.306  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:32.699  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:33.104  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:33.499  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:33.886  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:34.303  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:34.723  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:35.147  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:35.551  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:35.968  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
02:36.379  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
