02:53.974  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
02:54.586  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
02:55.180  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
02:55.836  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
02:56.591  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
02:57.204  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
02:57.789  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
02:58.467  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
02:59.079  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
02:59.641  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:00.310  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:00.954  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:01.552  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:02.208  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:02.877  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:03.527  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:04.149  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:04.810  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:05.428  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:06.020  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:06.698  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:07.810  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:08.470  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:09.089  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:09.679  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:10.362  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:11.020  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:11.648  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:12.280  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:12.928  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:13.559  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:14.192  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:14.861  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:15.493  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:16.119  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:16.813  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:17.507  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:18.154  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:18.764  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:19.401  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:20.034  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:20.604  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:21.271  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:21.946  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:22.581  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:23.213  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:23.844  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:24.468  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:25.076  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:25.726  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:26.349  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:26.965  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:27.615  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:28.218  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:28.835  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:29.430  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:30.026  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:30.613  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:31.198  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:32.363  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:32.920  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:33.541  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:34.136  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:34.704  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:35.288  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:35.874  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:36.432  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:37.056  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:37.628  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:38.261  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:38.878  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:39.494  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:40.123  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:40.727  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:41.317  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:41.955  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:42.599  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:43.205  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:43.907  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:44.655  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:45.348  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:45.998  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:46.730  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:47.492  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:48.247  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:48.981  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:49.660  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:50.236  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:50.960  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
[glass] 11/450 episodes, 368 frames, 3.8 min, 1.60 fps
03:52.233  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:52.935  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:53.513  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:54.082  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:54.736  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:55.305  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:55.868  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
03:56.494  render           | Saved: '/tmp/clearvla_render_glass_front_29771.png'
