05:32.627  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:33.497  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:34.545  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:35.876  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:36.789  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:37.618  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:38.254  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:38.821  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:39.622  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:40.179  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:40.715  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:41.244  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:42.988  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:43.620  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:44.153  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:44.634  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:46.567  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:48.198  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:49.537  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:50.580  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:51.278  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:52.078  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:53.141  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:53.746  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:55.079  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:55.718  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:56.196  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:56.768  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:57.358  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:57.893  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:58.506  render           | Saved: '/tmp/clearvla_render_glass_front.png'
05:59.668  render           | Saved: '/tmp/clearvla_render_glass_front.png'
06:00.421  render           | Saved: '/tmp/clearvla_render_glass_front.png'
06:01.141  render           | Saved: '/tmp/clearvla_render_glass_front.png'
06:02.609  render           | Saved: '/tmp/clearvla_render_glass_front.png'
06:03.224  render           | Saved: '/tmp/clearvla_render_glass_front.png'
06:03.695  render           | Saved: '/tmp/clearvla_render_glass_front.png'
06:04.520  render           | Saved: '/tmp/clearvla_render_glass_front.png'
06:05.014  render           | Saved: '/tmp/clearvla_render_glass_front.png'
06:05.620  render           | Saved: '/tmp/clearvla_render_glass_front.png'
06:06.137  render           | Saved: '/tmp/clearvla_render_glass_front.png'
06:07.445  render           | Saved: '/tmp/clearvla_render_glass_front.png'
06:08.983  render           | Saved: '/tmp/clearvla_render_glass_front.png'
06:09.652  render           | Saved: '/tmp/clearvla_render_glass_front.png'
06:11.752  render           | Saved: '/tmp/clearvla_render_glass_front.png'
06:12.772  render           | Saved: '/tmp/clearvla_render_glass_front.png'
